id,name,created_at,updated_at
209,Sudan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
210,Suriname,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
211,Svalbard And Jan Mayen Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
212,Swaziland,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
213,Sweden,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
214,Switzerland,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
215,Syria,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
216,Taiwan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
217,Tajikistan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
218,Tanzania,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
219,Thailand,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
220,Togo,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
221,Tokelau,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
222,Tonga,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
223,Trinidad And Tobago,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
224,Tunisia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
225,Turkey,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
226,Turkmenistan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
227,Turks And Caicos Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
228,Tuvalu,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
229,Uganda,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
230,Ukraine,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
231,United Arab Emirates,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
232,United Kingdom,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
233,United States,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
234,United States Minor Outlying Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
235,Uruguay,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
236,Uzbekistan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
237,Vanuatu,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
238,Vatican City State (Holy See),2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
239,Venezuela,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
240,Vietnam,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
241,Virgin Islands (British),2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
242,Virgin Islands (US),2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
243,Wallis And Futuna Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
244,Western Sahara,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
245,Yemen,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
246,Zambia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
247,Zimbabwe,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
248,Kosovo,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
249,Curaçao,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
